SITE_ID,TOWER_TX,TOWER_RX,BANDWIDTH,
602789,865.4625,820.4625,25, 
602789,866.4625,821.4625,25, 
602789,867.4625,822.4625,25, 
602789,868.4625,823.4625,25, 
700224,865.8375,820.8375,25, 
700224,866.8375,821.8375,25, 
700224,867.8375,822.8375,25, 
700224,868.8375,823.8375,25, 
700224,869.8375,824.8375,25, 
700228,852.0375,928.0375,25,
700228,852.8875,928.8875,25,
700249,857.0125,,25,
700250,857.0125,,25,
700283,865.4875,820.4875,25, 
700283,866.4875,821.4875,25, 
700283,867.4875,822.4875,25, 
700283,868.5875,823.5875,25, 
700311,929.51875,853.51875,12.5, 
700312,929.51875,853.51875,12.5, 
700313,929.51875,853.51875,12.5, 
700314,929.51875,853.51875,12.5, 
700354,865.4375,820.4375,25, 
700354,866.4375,821.4375,25, 
700354,867.4375,822.4375,25, 
700358,865.0875,820.0875,25, 
700358,865.5125,820.5125,25, 
700358,865.6125,820.6125,25, 
700358,866.0875,821.0875,25, 
700358,866.5125,821.5125,25, 
700358,866.6125,821.6125,25, 
700358,867.0875,822.0875,25, 
700358,867.6125,822.6125,25, 
700358,868.0875,823.0875,25, 
700358,869.0875,824.0875,25, 
700438,852.2375,,25, 
700438,865.1875,820.1875,25, 
700438,866.1875,821.1875,25, 
700438,867.1875,822.1875,25, 
700438,868.1125,823.1125,25, 
700438,928.2875,852.2875,25, 
700438,855.3,931.3,200, 
700534,804.5,849.5,200,
700534,805.3,850.3,200,
700555,847.4,,200, 
700579,866.2625,821.2625,25, 
700579,867.2625,822.2625,25, 
700579,868.2625,823.2625,25, 
700580,865.5375,820.5375,25, 
700580,866.5375,821.5375,25, 
700580,867.5375,822.5375,25, 
700580,868.5375,823.5375,25, 
700580,869.5375,824.5375,25, 
700581,867.4375,822.4375,25, 
700581,868.4375,823.4375,25, 
700581,868.6375,823.6375,25, 
700581,854.7,930.7,200, 
700600,852.2125,928.2125,25,
700628,865.4375,820.4375,25, 
700628,866.4375,821.4375,25, 
700628,867.4375,822.4375,25, 
700628,868.4375,823.4375,25, 
700630,865.5375,820.5375,25, 
700630,866.5375,821.5375,25, 
700630,867.5375,822.5375,25, 
700630,868.5375,823.5375,25, 
700630,854.5,930.5,200, 
700632,865.1125,820.1125,25, 
700632,866.1125,821.1125,25, 
700632,867.1125,822.1125,25, 
700632,868.1125,823.1125,25, 
700634,860.9125,,25,
700634,852.4625,928.4625,25, 
700657,852.2375,,25, 
700657,865.4625,820.4625,25, 
700657,865.9625,820.9625,25, 
700657,866.4625,821.4625,25, 
700657,867.4625,822.4625,25, 
700657,868.4625,823.4625,25, 
700657,869.4625,824.4625,25, 
700657,928.1625,852.1625,25,
700657,928.9625,852.9625,25, 
700687,865.7625,820.7625,25, 
700687,866.7625,821.7625,25, 
700687,867.7625,822.7625,25, 
700687,868.7625,823.7625,25, 
700687,869.7625,824.7625,25, 
700688,929.55625,929.55625,12.5, 
700689,929.55625,929.55625,12.5, 
700694,865.8375,820.8375,25, 
700694,866.8375,821.8375,25, 
700694,867.8375,822.8375,25, 
700694,868.8375,823.8375,25, 
700695,865.7625,820.7625,25, 
700695,866.7625,821.7625,25, 
700695,867.7625,822.7625,25, 
700695,868.7625,823.7625,25, 
700695,846.6,,400, 
700695,847.4,,400, 
